,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
1147,Benevento,Nuova Cosenza,3-0,https://www.besoccer.com/match/benevento-calcio/nuova-cosenza/2022,2022,9,serie_b,69,46,3.0,0.0,1.0,1.0,1.3592233009708736,0.39634146341463417,2.0,3.0
1148,Frosinone,Ascoli,2-1,https://www.besoccer.com/match/frosinone-calcio/ascoli/2022,2022,9,serie_b,59,52,2.0,1.0,1.0,1.0,0.6808510638297872,1.7499999999999998,-1.0,-3.0
1149,Brescia,Cremonese,1-0,https://www.besoccer.com/match/brescia/us-cremonese/2022,2022,9,serie_b,62,58,1.0,0.0,1.0,1.0,2.01980198019802,0.759493670886076,0.0,-1.0
1150,Pisa SC,Pordenone,1-1,https://www.besoccer.com/match/pisa-calcio/pordenone/2022,2022,9,serie_b,57,48,1.0,1.0,0.0,0.0,1.190721649484536,0.23684210526315788,4.0,3.0
1151,Reggina,Parma,2-1,https://www.besoccer.com/match/reggina/parma-fc/2022,2022,9,serie_b,44,56,2.0,1.0,1.0,1.0,0.8283132530120482,1.794642857142857,2.0,0.0
1152,SPAL,Como,1-1,https://www.besoccer.com/match/spal-1907/como/2022,2022,9,serie_b,60,37,1.0,1.0,0.0,0.0,1.8611111111111112,1.3522727272727273,2.0,0.0
1153,Arsenal,Aston Villa,3-1,https://www.besoccer.com/match/arsenal/aston-villa-fc/2022,2022,9,premier_league,87,76,3.0,1.0,1.0,1.0,1.0169491525423728,0.9315068493150686,1.0,2.0
1154,Chelsea,Norwich City,7-0,https://www.besoccer.com/match/chelsea-fc/norwich-city-fc/2022,2022,9,premier_league,93,70,7.0,0.0,1.0,1.0,1.4921052631578948,0.0,2.0,3.0
1155,Crystal Palace,Newcastle,1-1,https://www.besoccer.com/match/crystal-palace-fc/newcastle-united-fc/2022,2022,9,premier_league,74,72,1.0,1.0,0.0,0.0,1.005,0.6964285714285715,1.0,3.0
1156,Everton,Watford,2-5,https://www.besoccer.com/match/everton-fc/watford-fc/2022,2022,9,premier_league,80,64,2.0,5.0,-1.0,0.0,1.368421052631579,0.6956521739130435,2.0,2.0
1157,Leeds United,Wolves,1-1,https://www.besoccer.com/match/leeds-united-afc/wolverhampton/2022,2022,9,premier_league,72,74,1.0,1.0,0.0,0.0,0.6666666666666666,1.2705882352941176,-1.0,-2.0
1158,Southampton,Burnley,2-2,https://www.besoccer.com/match/southampton-fc/burnley-fc/2022,2022,9,premier_league,78,72,2.0,2.0,0.0,0.0,0.3333333333333333,0.6379310344827587,0.0,3.0
1159,Brighton & Hove Albion,Man. City,1-4,https://www.besoccer.com/match/brighton-amp-hov/manchester-city-fc/2022,2022,9,premier_league,72,98,1.0,4.0,-1.0,0.0,0.673469387755102,0.9090909090909091,1.0,-1.0
1160,Brentford,Leicester,1-2,https://www.besoccer.com/match/brentford/leicester-city-fc/2022,2022,9,premier_league,73,83,1.0,2.0,-1.0,0.0,0.8442982456140351,1.3958333333333333,-1.0,1.0
1161,West Ham,Tottenham Hotspur,1-0,https://www.besoccer.com/match/west-ham-united/tottenham-hotspur-fc/2022,2022,9,premier_league,81,88,1.0,0.0,1.0,1.0,1.3398058252427185,1.0733695652173914,-1.0,0.0
1162,Man. Utd,Liverpool,0-5,https://www.besoccer.com/match/manchester-united-fc/liverpool/2022,2022,9,premier_league,90,93,0.0,5.0,-1.0,0.0,1.657608695652174,3.0304878048780486,1.0,-3.0
1163,Coventry City,Peterborough United,3-0,https://www.besoccer.com/match/coventry-city/peterborough-u/2022,2022,9,championship,45,51,3.0,0.0,1.0,1.0,1.254424778761062,0.6015625,4.0,4.0
1164,West Bromwich Albion,Queens Park Rangers,2-1,https://www.besoccer.com/match/west-bromwich/queens-park-rangers-fc/2022,2022,9,championship,61,57,2.0,1.0,1.0,1.0,1.418181818181818,2.0277777777777777,2.0,-1.0
1165,Reading,Middlesbrough,1-0,https://www.besoccer.com/match/reading-fc/middlesbrough-fc/2022,2022,9,championship,54,59,1.0,0.0,1.0,1.0,1.75,0.5970873786407767,1.0,0.0
1166,AFC Bournemouth,Luton Town,2-1,https://www.besoccer.com/match/afc-bournemouth/luton-town-fc/2022,2022,9,championship,69,55,2.0,1.0,1.0,1.0,1.5946601941747571,1.188118811881188,2.0,0.0
1167,Birmingham City,Preston North End,0-0,https://www.besoccer.com/match/birmingham-city-fc/preston-north-end/2022,2022,9,championship,50,58,0.0,0.0,0.0,0.0,0.5337837837837838,0.6,-1.0,2.0
1168,Blackburn Rovers,Cardiff City,5-1,https://www.besoccer.com/match/blackburn-rovers-fc/cardiff-city-fc/2022,2022,9,championship,56,59,5.0,1.0,1.0,1.0,1.2333333333333334,1.202970297029703,1.0,-1.0
1169,Blackpool,Barnsley,1-0,https://www.besoccer.com/match/blackpool-fc/barnsley-fc/2022,2022,9,championship,48,54,1.0,0.0,1.0,1.0,0.17857142857142858,0.8076923076923077,-2.0,1.0
1170,Bristol City,Fulham,1-1,https://www.besoccer.com/match/bristol-city-fc/fulham/2022,2022,9,championship,57,61,1.0,1.0,0.0,0.0,0.35714285714285715,2.1725,-1.0,-2.0
1171,Nottingham Forest,Millwall,1-1,https://www.besoccer.com/match/nottingham-forest-fc/millwall-fc/2022,2022,9,championship,58,57,1.0,1.0,0.0,0.0,0.5442477876106195,0.6043689320388349,-4.0,1.0
1172,Sheffield United,Derby County,1-0,https://www.besoccer.com/match/sheffield-united/derby-county-fc/2022,2022,9,championship,58,58,1.0,0.0,1.0,1.0,1.5981308411214952,0.40625,-1.0,1.0
1173,Stoke City,Hull City,2-0,https://www.besoccer.com/match/stoke-city/hull-city/2022,2022,9,championship,65,53,2.0,0.0,1.0,1.0,1.2894736842105263,0.8222222222222222,3.0,1.0
1174,Swansea City,Huddersfield Town,1-0,https://www.besoccer.com/match/swansea-city-afc/huddersfield-town-fc/2022,2022,9,championship,66,53,1.0,0.0,1.0,1.0,0.18362831858407078,1.4112903225806452,-1.0,-1.0
1175,Lens,Stade de Reims,2-0,https://www.besoccer.com/match/lens/stade-reims/2022,2022,9,ligue_1,68,72,2.0,0.0,1.0,1.0,0.775462962962963,0.7380952380952381,0.0,0.0
1176,Montpellier,Strasbourg,1-1,https://www.besoccer.com/match/montpellier-hsc/strasbourg/2022,2022,9,ligue_1,76,72,1.0,1.0,0.0,0.0,1.590909090909091,1.00374531835206,1.0,1.0
